,tweet,source,created_at,compound,positive,neutral,negative
145,".@LindseyGrahamSC on lessons learned from Senator John McCain's service to the country: ""I learned that serving a c… https://t.co/Qp3jCE3l3x",@FoxNews,2018-08-28 18:31:38+00:00,0.0,0.0,1.0,0.0
146,".@LindseyGrahamSC on Senator John McCain's concession speech in 2008: ""He healed the nation at a time he was hurt."" https://t.co/Sy5mxhqBQL",@FoxNews,2018-08-28 18:29:56+00:00,0.0,0.0,1.0,0.0
147,Senator @LindseyGrahamSC pays tribute to the life and legacy of his friend and colleague Senator John McCain.… https://t.co/4ZIUfbexnh,@FoxNews,2018-08-28 18:15:44+00:00,0.4939,0.158,0.842,0.0
148,"GOP rep touches off firestorm with claim FBI leaked info, used stories to get FISA warrants https://t.co/umb0G035Cw",@FoxNews,2018-08-28 18:06:31+00:00,-0.3182,0.0,0.874,0.126
149,Alabama school's hilarious 'opt out' fundraising letter goes viral https://t.co/V5tMaAm8cH,@FoxNews,2018-08-28 17:51:58+00:00,0.4019,0.231,0.769,0.0
150,".@DarrellIssa on DOJ official Bruce Ohr questioned on contacts with anti-Trump dossier author: ""Bruce Ohr is creati… https://t.co/pmOJQPOiyN",@FoxNews,2018-08-28 17:42:55+00:00,-0.1027,0.0,0.924,0.076
151,"Iran's president vows to overcome 'anti-Iranians' in White House, as lawmakers issue public rebuke https://t.co/MIRupiI3bj",@FoxNews,2018-08-28 17:31:35+00:00,0.0,0.0,1.0,0.0
152,Vets in tech: Silicon Valley must lead the way https://t.co/QrQp8bzmTw,@FoxNews,2018-08-28 17:19:26+00:00,0.0,0.0,1.0,0.0
153,K-pop band @BTS_twt beats Taylor Swift's YouTube record for most video views in 24 hours with song #IDOL https://t.co/3WYHm6GT5e,@FoxNews,2018-08-28 17:02:15+00:00,0.0,0.0,1.0,0.0
154,"RT @FoxBusiness: Former President Jimmy Carter: ""I don't talk about impeachment. I think that's the wrong thing for Democrats to do."" https…",@FoxNews,2018-08-28 16:56:32+00:00,-0.4767,0.0,0.866,0.134
155,"RT @FoxBusiness: Former President Jimmy Carter: ""The president has much less influence over the economy than is certainly publicized by the…",@FoxNews,2018-08-28 16:56:22+00:00,0.34,0.107,0.893,0.0
156,Arizona star pro athletes to participate in John McCain's funeral https://t.co/P1QHT830i3,@FoxNews,2018-08-28 16:55:42+00:00,-0.3612,0.0,0.8,0.2
157,OPINION: Trump replaces NAFTA and triumphs -- New trade deal with Mexico is YUGE win for both countries https://t.co/ZWpFE5RDtm,@FoxNews,2018-08-28 16:54:47+00:00,0.7783,0.286,0.714,0.0
158,"RT @FoxBusiness: Former President Jimmy Carter: ""The markets were very important to me."" https://t.co/7trFQv5lNa",@FoxNews,2018-08-28 16:48:42+00:00,0.2716,0.139,0.861,0.0
159,"RT @FoxBusiness: Former President Jimmy Carter: ""I think it's been proven that, on a number of occasions, President Trump has made statemen…",@FoxNews,2018-08-28 16:48:36+00:00,0.0772,0.061,0.939,0.0
160,"RT @FoxBusiness: Former President Jimmy Carter: ""I think we're going through a phase of difficulty. Our country is much more polarized than…",@FoxNews,2018-08-28 16:48:27+00:00,-0.34,0.0,0.893,0.107
161,"RT @FoxBusiness: Former President Jimmy Carter on @Habitat_org: ""It's very gratifying to us... I feel like we always get more out of it tha…",@FoxNews,2018-08-28 16:47:44+00:00,0.7264,0.225,0.775,0.0
162,.@adrienneelrod: “He wanted nominees who would vow to overturn Roe v. Wade.” https://t.co/QZnCwxyZmA,@FoxNews,2018-08-28 16:47:28+00:00,0.0,0.0,1.0,0.0
163,"Student arrested for stealing MAGA hat, slapping teacher in profanity-laced tirade https://t.co/WENe16aVd7",@FoxNews,2018-08-28 16:35:29+00:00,-0.7783,0.0,0.595,0.405
164,Soccer fan's celebration goes viral after ceremonial goal to honor father https://t.co/UB2ElR0Ytq,@FoxNews,2018-08-28 16:28:26+00:00,0.4939,0.225,0.775,0.0
165,Children's Advil bubble gum flavor recalled due to overdose concerns https://t.co/zcF9CIkF6d,@FoxNews,2018-08-28 16:15:23+00:00,0.0,0.0,1.0,0.0
166,University founded by George Soros stops courses for refugees due to new tax https://t.co/4y8n7sq4Pt,@FoxNews,2018-08-28 16:12:51+00:00,-0.1531,0.0,0.89,0.11
167,White House 'taking a look' at regulating Google https://t.co/1V3qcnI5j8,@FoxNews,2018-08-28 16:09:53+00:00,0.0,0.0,1.0,0.0
168,Doorbell camera captures fireball flashing through the sky in Missouri https://t.co/8HDY7nGiDW,@FoxNews,2018-08-28 15:53:31+00:00,0.0,0.0,1.0,0.0
169,Ben Affleck's reign as Batman may come to an end due to post-rehab insurance costs https://t.co/EIOzlApvLX,@FoxNews,2018-08-28 15:45:55+00:00,0.0,0.0,1.0,0.0
170,"Jim Brown Doubles Down on Anthem Stance, Trump Support https://t.co/v852JIeQpr https://t.co/D0IklYopxl",@FoxNews,2018-08-28 15:43:14+00:00,0.4019,0.213,0.787,0.0
171,"FBI agent says bureau leaked stories, then used them to get FISA warrants https://t.co/UYyjHCFdvc",@FoxNews,2018-08-28 15:29:05+00:00,-0.3182,0.0,0.85,0.15
172,"Viking Cruises bans children, says clients want kid-free vacations https://t.co/Ux39fljjc4",@FoxNews,2018-08-28 15:25:43+00:00,0.0772,0.126,0.874,0.0
173,"Bride cancels wedding, breaks up with fiancé after friends and family refuse to pay for $60K nuptials https://t.co/ImvzSrCzOS",@FoxNews,2018-08-28 15:00:22+00:00,-0.1027,0.137,0.619,0.243
174,Theresa May busts out dance moves during visit to South Africa https://t.co/XHRKq2kcTh,@FoxNews,2018-08-28 14:55:10+00:00,0.0,0.0,1.0,0.0
175,WATCH: Bruce Ohr Refuses to Answer Questions From Fox News' Herridge https://t.co/2LyRCpt0Gb,@FoxNews,2018-08-28 14:41:59+00:00,0.0,0.0,1.0,0.0
176,".@SenatorRounds: “The administration has taken the correct position suggesting that until we actually see progress,… https://t.co/oRtUfgKxZb",@FoxNews,2018-08-28 14:33:40+00:00,0.0,0.0,1.0,0.0
177,Army builds new self-propelled Howitzer - cannon will hit 43.5 miles https://t.co/RJZtIwh07q,@FoxNews,2018-08-28 14:28:59+00:00,0.0,0.0,1.0,0.0
178,.@SenJohnKennedy: “Senator McCain played outside the pocket. He was a warrior.” https://t.co/rhurGFJEuh,@FoxNews,2018-08-28 14:16:57+00:00,0.34,0.194,0.806,0.0
179,"DOJ official Bruce Ohr faces closed-door grilling over Trump dossier, Steele ties https://t.co/OCdo7LVgxB",@FoxNews,2018-08-28 14:10:10+00:00,0.0,0.0,1.0,0.0
180,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""Right now is not the world's best time to negotiate with China."" https://t.co/59fppH32hT",@FoxNews,2018-08-28 14:08:43+00:00,-0.5216,0.0,0.826,0.174
181,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss on trade agreement with Mexico: ""One of the purposes is to put wages up in Mexico."" https://t…",@FoxNews,2018-08-28 14:07:20+00:00,0.4939,0.138,0.862,0.0
182,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""The Canadian economy really can't survive very well without a deal with the U.S. They're to…",@FoxNews,2018-08-28 14:07:00+00:00,-0.2572,0.0,0.899,0.101
183,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss on trade: ""It's pretty important that we file something very, very promptly."" https://t.co/dk…",@FoxNews,2018-08-28 14:06:44+00:00,0.6124,0.25,0.75,0.0
184,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""This deal is pretty well put together with Mexico. So the president, as he's indicated, is…",@FoxNews,2018-08-28 14:06:36+00:00,0.6486,0.227,0.773,0.0
185,Texans star JJ Watt's Hurricane Harvey effort raises record $41.6M https://t.co/ZPnFGrDeUu,@FoxNews,2018-08-28 14:04:40+00:00,0.4084,0.215,0.785,0.0
186,"'We Should Never Denigrate Our Flag': Jim Brown Doubles Down on Anthem Stance, Trump Support https://t.co/v852JIeQpr",@FoxNews,2018-08-28 13:43:33+00:00,0.4019,0.153,0.847,0.0
187,Court ruling against North Carolina districts could leave House control in limbo until 2019 https://t.co/m8zBrEPFAL,@FoxNews,2018-08-28 13:27:11+00:00,-0.0516,0.0,0.921,0.079
188,Tiger Woods' 'respect the office' statement about Trump blasted by ESPN host Max Kellerman https://t.co/SY3SQG545C,@FoxNews,2018-08-28 13:02:52+00:00,0.4767,0.181,0.819,0.0
189,"Firefighter, another bystander leap into action as gunfire rings out at New Mexico convenience store https://t.co/hQkie0aS5c",@FoxNews,2018-08-28 12:56:48+00:00,0.0,0.0,1.0,0.0
190,"Larry Kudlow: “Our deal with Mexico shows that free trade, fair trade can be done.” https://t.co/MQrxqgoQSz",@FoxNews,2018-08-28 12:53:28+00:00,0.6808,0.286,0.714,0.0
191,Larry Kudlow: “We would like to make a good deal with Canada.” https://t.co/XK25f4CbLa,@FoxNews,2018-08-28 12:49:38+00:00,0.6597,0.351,0.649,0.0
192,"Larry Kudlow: “It’s going to promote economic growth, both sides of the border.” https://t.co/aNaNYGVIFo",@FoxNews,2018-08-28 12:43:16+00:00,0.6369,0.302,0.698,0.0
193,Jim Brown: “We should never denigrate our flag and our national anthem.” https://t.co/Qm8GeEXYKS,@FoxNews,2018-08-28 12:35:49+00:00,0.0,0.0,1.0,0.0
194,Jim Brown: “This president is accessible and he’s different.” https://t.co/bF25orCsYZ,@FoxNews,2018-08-28 12:28:05+00:00,0.0,0.0,1.0,0.0
195,"GOP braces for Democratic investigation overload against Trump, if House flips https://t.co/EH02yxp07T",@FoxNews,2018-08-28 12:24:04+00:00,-0.3612,0.0,0.815,0.185
196,".@LindseyGrahamSC: “He was my mentor, he was my friend and I feel a real obligation to send him off well and to con… https://t.co/4OWs5jwtIq",@FoxNews,2018-08-28 12:11:31+00:00,0.6486,0.209,0.791,0.0
197,.@LindseyGrahamSC: “I’ve seen no evidence of collusion after two years.” https://t.co/QPhbYbbmJ1,@FoxNews,2018-08-28 11:50:39+00:00,-0.296,0.0,0.82,0.18
198,3-D printed gun ban extended by judge pending state challenge https://t.co/xesYOH4VxH https://t.co/pRJEECLfli,@FoxNews,2018-08-28 11:41:27+00:00,-0.6908,0.08,0.552,0.368
199,Seth Rogen's AMC series 'Preacher' features Nazi wearing MAGA hat in season finale https://t.co/meDDxKErUQ,@FoxNews,2018-08-28 11:40:16+00:00,0.0,0.0,1.0,0.0
200,"Rep. Ron DeSantis will win Florida's Republican governor's primary, CNN projects, in yet another win for a Trump-ba… https://t.co/5pJqz1Y3ro",@CNN,2018-08-29 00:14:50+00:00,0.8225,0.322,0.678,0.0
201,The former CEO of Barnes &amp; Noble is suing the bookseller over his firing last month https://t.co/9saAEwKexu https://t.co/50mk7FweBe,@CNN,2018-08-29 00:11:04+00:00,-0.128,0.133,0.667,0.2
202,RT @OutFrontCNN: Sen. Mark Warner says his former Senate colleague John McCain told him 'to stick at it and get to the truth' in the Russia…,@CNN,2018-08-29 00:04:35+00:00,0.3182,0.084,0.916,0.0
203,A tale of two refugee girls | By Angelina Jolie via @CNNOpinion https://t.co/T8IV5Hq92F https://t.co/Kf3mnGf0UO,@CNN,2018-08-29 00:01:05+00:00,0.0,0.0,1.0,0.0
204,Former Papa John's chairman John Schnatter says he believes he's being scapegoated for the pizza chain's poor perfo… https://t.co/CzYxf5brI5,@CNN,2018-08-28 23:51:03+00:00,-0.4767,0.0,0.853,0.147
205,"RT @OutFrontCNN: ""Never, ever has any president come even close to saying if my side loses there's going to be violence. I think it is irre…",@CNN,2018-08-28 23:47:38+00:00,-0.7506,0.0,0.782,0.218
206,"Air pollution could be more damaging to our health than previously thought, according to a new study, which found t… https://t.co/tYL8nukK4A",@CNN,2018-08-28 23:41:01+00:00,-0.5563,0.0,0.841,0.159
207,"Supreme Court nominee Brett Kavanaugh will be introduced by Republican Sen. Rob Portman of Ohio, former Secretary o… https://t.co/uOTbCpMwru",@CNN,2018-08-28 23:31:05+00:00,0.0,0.149,0.702,0.149
208,"RT @OutFrontCNN: ""One of the lessons I've learned the most from him was the absolutely essential nature of American leadership around the w…",@CNN,2018-08-28 23:27:07+00:00,0.0,0.0,1.0,0.0
209,Arizona polls to close on time after Election Day snafu https://t.co/1uWpz1e8qk https://t.co/X40iSR1yQI,@CNN,2018-08-28 23:21:13+00:00,-0.5423,0.0,0.759,0.241
210,"Nearly 2.3 million cases of chlamydia, gonorrhea and syphilis were diagnosed in the United States in 2017, accordin… https://t.co/maxaNUMjFK",@CNN,2018-08-28 23:21:05+00:00,0.4215,0.135,0.865,0.0
211,Uber is pivoting to e-bikes and scooters for short rides as its business model changes https://t.co/dNd7pCDFJj https://t.co/15LLZcTKrf,@CNN,2018-08-28 23:18:11+00:00,0.0,0.0,1.0,0.0
212,"Usually, politics and slime go hand-in-hand. ""Sliming"" a political opponent is well-worn tradition, after all.

But… https://t.co/G3Gwd9uP5W",@CNN,2018-08-28 23:16:23+00:00,0.0,0.0,1.0,0.0
213,"RT @OutFrontCNN: ""This is a President that seems like he is lashing out at anyone and I think it's because the walls are closing in,"" says…",@CNN,2018-08-28 23:13:53+00:00,0.3612,0.098,0.902,0.0
214,Senate Majority Leader Mitch McConnell cut a deal with Democratic leaders in the upper chamber to clear a slate of… https://t.co/Zn2gj4cf3g,@CNN,2018-08-28 23:11:03+00:00,0.128,0.12,0.783,0.097
215,"RT @OutFrontCNN: It's election day in Arizona, Florida, and Oklahoma. Follow for live updates. https://t.co/GxZ8IRdS3v https://t.co/J1Iz5Nt…",@CNN,2018-08-28 23:07:20+00:00,0.0,0.0,1.0,0.0
216,Mike Pence's plan to outlast Trump | By Michael D'Antonio and Peter Eisner via @CNNOpinion https://t.co/nFaFZcR7Hv https://t.co/2mRdKYTCX3,@CNN,2018-08-28 23:01:04+00:00,0.0,0.0,1.0,0.0
217,Researchers used a manned submersible to bring back the first images of a deep-sea coral reef off the coast of Sout… https://t.co/cb4QFVHJAR,@CNN,2018-08-28 23:01:00+00:00,0.0,0.0,1.0,0.0
218,Sofia Sanchez had two wishes for her 11th birthday. The first came true earlier this month when Drake surprised her… https://t.co/UPLxJCXx5r,@CNN,2018-08-28 22:52:07+00:00,0.6486,0.259,0.741,0.0
219,GoPro CEO Nick Woodman says the company hasn't been hit by President Trump's tariffs against China yet -- but they… https://t.co/XRwSYMsDU0,@CNN,2018-08-28 22:45:00+00:00,0.0,0.0,1.0,0.0
220,A former police officer in the Dallas suburb of Balch Springs was found guilty of murder in the shooting of Jordan… https://t.co/L0TkbxwxUm,@CNN,2018-08-28 22:43:21+00:00,-0.8176,0.0,0.717,0.283
221,"RT @CNNSitRoom: ""This President has to be willing to accept the will of the American people when it comes to an election, and stop threaten…",@CNN,2018-08-28 22:38:34+00:00,0.1027,0.094,0.827,0.079
222,The owner of a company that builds 3D-printed guns said he has begun selling blueprints of the weapons to elude a c… https://t.co/i8RlYoOzEA,@CNN,2018-08-28 22:35:13+00:00,-0.4404,0.0,0.873,0.127
223,RT @CNNSitRoom: Democratic Senator Blumenthal says he’s talked to a number of Republican colleagues and thinks ”there would be holy hell to…,@CNN,2018-08-28 22:30:48+00:00,-0.6486,0.052,0.763,0.185
224,"Meet the Arab superhero fighting crime and smashing stereotypes. Emara doesn't wear spandex, skintight leather or m… https://t.co/T2BkzI0arL",@CNN,2018-08-28 22:30:00+00:00,-0.7184,0.0,0.727,0.273
225,"Veteran David Carrasco gave his own Vietnam War medallion to the late Sen. John McCain's wife, Cindy McCain, outsid… https://t.co/CwUpC3f6gA",@CNN,2018-08-28 22:28:51+00:00,-0.5994,0.0,0.83,0.17
226,"Illinois authorities are investigating allegations of neglect after a fire in Chicago killed 10 children, officials… https://t.co/7cQ4IhdTOK",@CNN,2018-08-28 22:25:07+00:00,-0.872,0.0,0.568,0.432
227,"Facing scrutiny for hush money payments to a porn star and a former Playboy model, Trump pleaded with evangelical l… https://t.co/wqs33Je3GO",@CNN,2018-08-28 22:20:05+00:00,0.0,0.0,1.0,0.0
228,Senate Republicans are sending decidedly mixed messages about how they feel about the future of Attorney General Je… https://t.co/aZufhL6bgH,@CNN,2018-08-28 22:15:15+00:00,0.0,0.0,1.0,0.0
229,"It's election day in Arizona, Florida, and Oklahoma. Follow for live updates. https://t.co/ufORF8aN3n https://t.co/2La3w5ES7x",@CNN,2018-08-28 22:11:48+00:00,0.0,0.0,1.0,0.0
230,HBO has quietly dropped erotic late-night programming from its lineup https://t.co/h5A8TbI0d0 https://t.co/xAo7NNNSbL,@CNN,2018-08-28 21:50:07+00:00,0.0,0.0,1.0,0.0
231,JPMorgan just made another high-profile artificial intelligence hire https://t.co/QxeypaK99l https://t.co/Fi7Mj3hzSp,@CNN,2018-08-28 21:40:10+00:00,0.4767,0.256,0.744,0.0
232,"Without evidence, Trump reiterated claims about Google's search results, saying the company is ""taking advantage of… https://t.co/4TAekVTE8w",@CNN,2018-08-28 21:35:00+00:00,0.25,0.111,0.889,0.0
233,Bubble gum-flavored children's Advil is being recalled after customer complaints identified that the dosage cup pro… https://t.co/GzQkiLagWL,@CNN,2018-08-28 21:30:09+00:00,-0.4019,0.0,0.856,0.144
234,"Canada looks to join the US-Mexico trade talks, but Prime Minister Justin Trudeau says he will only sign a new deal… https://t.co/f7KWE2EP5i",@CNN,2018-08-28 21:29:22+00:00,0.1531,0.074,0.926,0.0
235,"A day out from their big-ticket debate, a leaked email has brought up the temperature in the race between New York… https://t.co/tOBU6p437p",@CNN,2018-08-28 21:25:05+00:00,-0.3182,0.0,0.892,0.108
236,John McCain's goodbye is in classic tradition of George Washington's Farewell Address | By John Avlon via… https://t.co/N20oEjUFqJ,@CNN,2018-08-28 21:20:09+00:00,0.0,0.0,1.0,0.0
237,"UN Secretary General addresses the body's Security Council regarding the Rohingya refugee crisis, calling for the M… https://t.co/jmZ6SzmjCy",@CNN,2018-08-28 21:15:03+00:00,-0.4019,0.107,0.711,0.182
238,"A 9-year-old ended his own life on Thursday, shortly after coming out as gay and being bullied at school, according… https://t.co/6CA5J2nxad",@CNN,2018-08-28 21:10:07+00:00,-0.6249,0.0,0.823,0.177
239,Elon Musk is lashing out on Twitter again https://t.co/FsmJvIngcP https://t.co/N1eC508CRK,@CNN,2018-08-28 21:00:14+00:00,0.0,0.0,1.0,0.0
240,The top elections official in Arizona's most populous county said he will petition to extend voting hours in the pr… https://t.co/RhO0mV4Sv0,@CNN,2018-08-28 20:55:04+00:00,0.3612,0.156,0.844,0.0
241,Country music stars were tweeting bright and early after the nominations for the 2018 CMA Awards were announced… https://t.co/AvD492IvHc,@CNN,2018-08-28 20:50:04+00:00,0.7096,0.258,0.742,0.0
242,"GOP Sen. Lindsey Graham this week argued that President Trump deserves to replace Attorney General Jeff Sessions, s… https://t.co/5gQAie2tx0",@CNN,2018-08-28 20:40:04+00:00,-0.3612,0.0,0.878,0.122
243,"RT @TheLeadCNN: “Lindsey Graham, in a very unfortunate way in my opinion, has decided to carry water for Trump – for whatever reason, he th…",@CNN,2018-08-28 20:38:51+00:00,-0.5095,0.0,0.87,0.13
244,"Whole Foods doesn't look much different since Amazon bought it a year ago, but incumbents like Walmart, Kroger, Cos… https://t.co/ElGGwqwBjL",@CNN,2018-08-28 20:30:07+00:00,0.5574,0.213,0.787,0.0
245,"This is how Ruth Bader Ginsburg, the oldest sitting Supreme Court Justice, stays in shape. She attributes her long… https://t.co/E3sd6jOm1p",@CNN,2018-08-28 20:25:00+00:00,0.7906,0.28,0.72,0.0
246,RT @CNNMoney: S&amp;P 500 gains a fraction of a point. Nasdaq gains 0.2%. Dow finishes up 14 points. https://t.co/E9IkqtvczQ,@CNN,2018-08-28 20:20:44+00:00,0.5859,0.242,0.758,0.0
247,"A dozen prisoners have died in the custody of Mississippi authorities this month and, with the exception of two dea… https://t.co/JuBp9bt2qu",@CNN,2018-08-28 20:20:04+00:00,-0.7845,0.0,0.723,0.277
248,"Without evidence, Trump reiterated claims about Google's search results, saying the company is ""taking advantage of… https://t.co/leGoaC1RUF",@CNN,2018-08-28 20:16:54+00:00,0.25,0.111,0.889,0.0
249,"The US Food and Drug Administration has again expanded the list of recalled medications that contain valsartan, use… https://t.co/pFICM2zkWz",@CNN,2018-08-28 20:10:10+00:00,0.0,0.0,1.0,0.0
250,"Sen. Lindsey Graham took to the Senate floor to give an emotional farewell to his friend and colleague, Sen. John M… https://t.co/SgOTTnb1UX",@CNN,2018-08-28 20:05:03+00:00,0.5859,0.194,0.806,0.0
251,"The newspaper industry has been fighting tariffs on Canadian paper for months, claiming that they will devastate an… https://t.co/csHvCRvt4f",@CNN,2018-08-28 20:00:12+00:00,-0.765,0.0,0.72,0.28
252,A federal court's rejection of North Carolina's GOP-rigged congressional district map has thrown in doubt 13 voting… https://t.co/3o7QCOfp2V,@CNN,2018-08-28 19:40:09+00:00,-0.7184,0.0,0.714,0.286
253,The police officer who fatally shot an unarmed black man in Tulsa now teaches a course on how other cops can 'survi… https://t.co/JU9By8rEsE,@CNN,2018-08-28 19:30:07+00:00,-0.6369,0.0,0.833,0.167
254,Slowed new construction and a short supply of existing homes for sale have pushed housing prices so high that buyer… https://t.co/bWZHWaDkSK,@CNN,2018-08-28 19:20:07+00:00,0.0,0.0,1.0,0.0
255,"""John taught us how to lose. ... He failed a lot but he never quit."" Sen. Lindsey Graham pays emotional tribute to… https://t.co/oSobdv1y8M",@CNN,2018-08-28 19:11:18+00:00,-0.2732,0.076,0.763,0.161
256,"RT @CNNPolitics: ""I learned that serving a cause greater than yourself hurts,"" a tearful Sen. Lindsey Graham says. ""He couldn't put his jac…",@CNN,2018-08-28 19:10:38+00:00,0.3612,0.111,0.889,0.0
257,Don't be fooled: Democrats' rule changes on superdelegates don't change much of anything | Analysis by @CillizzaCNN… https://t.co/vMEzaYhANG,@CNN,2018-08-28 19:10:05+00:00,0.2924,0.12,0.88,0.0
258,"RT @CNNPolitics: ""Love: Not a word often associated with Senator McCain. But it should be. Because if you were loved by him, you knew it,""…",@CNN,2018-08-28 19:01:02+00:00,0.5994,0.145,0.855,0.0
259,"""I do not cry for a perfect man. I cry for a man who had honor and always was willing to admit to his imperfection,… https://t.co/Bacv1Xv9oo",@CNN,2018-08-28 19:00:27+00:00,0.7278,0.325,0.579,0.096
260,"The Vatican knew of a cover-up involving abusive priests, Pennsylvania attorney general says https://t.co/ukYaN3LeVo https://t.co/U7oUvxyJdk",@CNN,2018-08-28 19:00:09+00:00,-0.7506,0.0,0.652,0.348
261,"RT @CNNPolitics: Sen. Lindsey Graham jokes about his tie during his Senate floor tribute to his friend John McCain: ""This is a Naval Academ…",@CNN,2018-08-28 18:50:26+00:00,0.6369,0.198,0.802,0.0
262,The owner of a company that builds 3D-printed guns said he has begun selling blueprints of the weapons to elude a c… https://t.co/MuF0SKhQ7K,@CNN,2018-08-28 18:50:06+00:00,-0.4404,0.0,0.873,0.127
263,Teacher strikes cancel the first day of school in two Washington state districts -- and more strikes could follow i… https://t.co/VxaRkN2Wyn,@CNN,2018-08-28 18:40:10+00:00,-0.7184,0.0,0.72,0.28
264,"Instagram has announced three new features related to safety on the platform, including providing more details abou… https://t.co/WjOMhtAS6G",@CNN,2018-08-28 18:30:12+00:00,0.4215,0.141,0.859,0.0
265,"Sen. Lindsey Graham honors John McCain with a speech from the Senate floor. https://t.co/UYpqI3w42L

Watch on Faceb… https://t.co/palVYXvRTy",@CNN,2018-08-28 18:24:36+00:00,0.5106,0.171,0.829,0.0
266,The government is starting to pay farmers that have been hurt by the fallout of President Trump's widening trade fe… https://t.co/HFAljLOash,@CNN,2018-08-28 18:20:04+00:00,-0.5859,0.0,0.798,0.202
267,"Nearly 2.3 million cases of chlamydia, gonorrhea and syphilis were diagnosed in the United States in 2017, accordin… https://t.co/NIVj5Dt0uc",@CNN,2018-08-28 18:10:07+00:00,0.4215,0.135,0.865,0.0
268,"President Trump has renewed his claims of bias against conservatives on the internet, accusing Google of rigging it… https://t.co/2ALJIINaV7",@CNN,2018-08-28 18:00:02+00:00,-0.2732,0.0,0.846,0.154
269,Students are learning and experimenting inside Google's virtual labs https://t.co/67I3wkr9GM https://t.co/Q7q0zgWr4C,@CNN,2018-08-28 17:50:07+00:00,0.0,0.0,1.0,0.0
270,EA Sports is canceling three remaining Madden Classic qualifier events to review safety protocols after a deadly sh… https://t.co/6vUGIOg6WH,@CNN,2018-08-28 17:40:05+00:00,0.4215,0.141,0.859,0.0
271,A mother was shoved into the path of an oncoming train. Her daughter jumped onto tracks to save her.… https://t.co/9GIoXUKbZk,@CNN,2018-08-28 17:30:05+00:00,0.4939,0.151,0.849,0.0
272,10 John McCain quotes about defeat and determination https://t.co/J7jt6FgnYu https://t.co/Si6WxtlNmn,@CNN,2018-08-28 17:20:05+00:00,-0.0772,0.197,0.584,0.219
273,Kenya has introduced a new anti-poaching technique involving specially-trained sniffer dogs to crack down on illega… https://t.co/iZ9oMbfnhM,@CNN,2018-08-28 17:10:09+00:00,0.0,0.0,1.0,0.0
274,The shooter who killed two people and wounded 10 others before taking his own life at an e-sports tournament in Jac… https://t.co/MLByifWnOy,@CNN,2018-08-28 17:00:07+00:00,-0.6705,0.0,0.824,0.176
275,"French President Emmanuel Macron says Europe can ""no longer rely"" on the US for security https://t.co/J7VSsdDhyQ https://t.co/JBaeYyKDVz",@CNN,2018-08-28 16:50:09+00:00,0.0516,0.122,0.765,0.112
276,Sofia Sanchez had two wishes for her 11th birthday. The first came true earlier this month when Drake surprised her… https://t.co/q5H51xv17h,@CNN,2018-08-28 16:41:05+00:00,0.6486,0.259,0.741,0.0
277,"Hurricane Maria caused an estimated 2,975 deaths in Puerto Rico, a new report shows. Researchers calculated excess… https://t.co/wt9DcZDqYZ",@CNN,2018-08-28 16:30:08+00:00,0.0,0.0,1.0,0.0
278,Researchers used a manned submersible to bring back the first images of a deep-sea coral reef off the coast of Sout… https://t.co/FtwSF8MOQZ,@CNN,2018-08-28 16:20:00+00:00,0.0,0.0,1.0,0.0
279,The stories behind 5 of Aretha Franklin's biggest songs https://t.co/gaZyd1ontY https://t.co/Z7RxRaX1sC,@CNN,2018-08-28 16:10:06+00:00,0.0,0.0,1.0,0.0
280,A man was being held by French police Tuesday over an attack last month on a woman in the center of Paris that was… https://t.co/u7NzKcOslY,@CNN,2018-08-28 16:00:09+00:00,-0.4767,0.0,0.876,0.124
281,The preliminary US-Mexico trade deal marks the beginning of what could be a stronger and more modern NAFTA -- as we… https://t.co/PfAeGjPQDu,@CNN,2018-08-28 15:50:07+00:00,0.3818,0.115,0.885,0.0
282,Health care was the top issue referenced in campaign advertisements ahead of the US Senate primaries in Arizona and… https://t.co/YagPGvkDrO,@CNN,2018-08-28 15:40:02+00:00,0.6124,0.217,0.783,0.0
283,"Gun-related homicides and suicides kill more people than war, according to a study https://t.co/7FbypECrPV https://t.co/W8TASiHtz6",@CNN,2018-08-28 15:30:07+00:00,-0.8709,0.0,0.575,0.425
284,"Top North Korean officials warned the United States in a letter that denuclearization talks are ""again at stake and… https://t.co/OKsCGQfR8T",@CNN,2018-08-28 15:20:07+00:00,0.3612,0.203,0.705,0.093
285,"President Trump has renewed his claims of bias against conservatives on the internet, accusing Google of rigging it… https://t.co/ssseAw7Hm9",@CNN,2018-08-28 15:10:06+00:00,-0.2732,0.0,0.846,0.154
286,"The Vatican knew of a cover-up involving abusive priests, Pennsylvania attorney general says https://t.co/D6enW5xMa6 https://t.co/aBHmDtGfvM",@CNN,2018-08-28 15:00:09+00:00,-0.7506,0.0,0.652,0.348
287,"He competes in kitesurfing competitions around the world, making a name for himself and the place where he was rais… https://t.co/zJ6pt7xLDO",@CNN,2018-08-28 15:00:00+00:00,0.0,0.0,1.0,0.0
288,The shooter who killed two people and wounded 10 others before taking his own life at an e-sports tournament in Jac… https://t.co/VL1TpNUrl6,@CNN,2018-08-28 14:50:06+00:00,-0.6705,0.0,0.824,0.176
